company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
G A I L (India) Ltd.,2013-09-30 00:00:00,61.26,1268477400,2,2013,140024.5,129843.4,9156.7,2013-11-06 00:00:00,0,GAIL,,
Indian Oil Corpn. Ltd.,2013-09-30 00:00:00,34.68,2427952482,2,2013,1102041.1,1159440.2,16839.2,2013-11-14 00:00:00,0,IOC,,
Oil & Natural Gas Corpn. Ltd.,2013-09-30 00:00:00,178.53,8555490120,2,2013,224146.7,178412.4,60638.6,2013-11-19 00:00:00,0,ONGC,,
Coal India Ltd.,2013-09-30 00:00:00,295,6316364400,2,2013,258.7,3156.6,12140.3,2013-11-20 00:00:00,0,coal,,
Tata Power Co. Ltd.,2013-09-30 00:00:00,78.26,2373072360,2,2013,21995.2,20676.2,2617.7,2013-11-21 00:00:00,0,tataPower,,
Power Grid Corpn. Of India Ltd.,2013-09-30 00:00:00,73.61,4629725353,2,2013,39994.9,28652.3,12392,2013-11-21 00:00:00,0,powerGrid,,
Reliance Industries Ltd.,2013-12-31 00:00:00,443.18,3231247307,3,2013,1035210,977360,55110,2014-01-17 00:00:00,1,Reliance,,
Adani Power Ltd.,2013-12-31 00:00:00,39,2871922110,3,2013,25557.2,33291.5,-4262.6,2014-01-27 00:00:00,0,Adani,,
N T P C Ltd.,2013-12-31 00:00:00,114,8245464400,3,2013,181975.8,167277.3,28612.8,2014-01-29 00:00:00,0,NTPC,,
G A I L (India) Ltd.,2013-12-31 00:00:00,64.03,1268477400,3,2013,160385.2,151581.4,16794,2014-01-31 00:00:00,0,GAIL,,
Power Grid Corpn. Of India Ltd.,2013-12-31 00:00:00,74.7,5231589648,3,2013,36845.5,27572.7,10420.4,2014-02-06 00:00:00,0,powerGrid,,
Tata Power Co. Ltd.,2013-12-31 00:00:00,88.15,2373072360,3,2013,20079.2,18121,2511.3,2014-02-07 00:00:00,0,tataPower,,
Coal India Ltd.,2013-12-31 00:00:00,290,6316364400,3,2013,847.7,3610,95977.7,2014-02-15 00:00:00,0,coal,,
